id,Director,Actor,Type,Nation,Weight,idI
鲨鱼惊魂夜,大卫·R·艾里斯,萨拉·帕克斯顿;克里斯·卡马克;达斯汀·米利甘;凯瑟琳·麦菲;乔·大卫·摩尔,恐怖,美国,2,350
鸟人,亚利桑德罗·冈萨雷斯·伊纳里图,迈克尔·基顿;爱德华·诺顿;艾玛·斯通;扎克·加利凡纳基斯;安德丽亚·瑞斯波罗格;娜奥米·沃茨;艾米·莱安;梅里特·韦弗;克拉克·米德尔顿;琳赛·邓肯,剧情;喜剧,美国;加拿大,4,351
鸟女,英勉,土屋太凤;间宫祥太朗;高杉真宙;池田依来沙;矢本悠马;前原滉;佐生雪;羽鸟慎一;轰二郎,喜剧;运动,日本,3,352
鸡妈鸭仔,吴成允,崔岷植;俞承豪;文素丽;朴哲民,动画,韩国,2,353
鸡皮疙瘩,罗伯·莱特曼,杰克·布莱克;迪兰·明奈特;奥德娅·拉什;艾米·莱安;瑞恩·李;吉莉恩·贝尔;豪斯顿·塞奇;肯·马里诺;库梅尔·南贾尼;斯蒂文·克鲁格;卡兰·索尼;E·罗杰·米切尔;艾拉·瓦勒斯泰特;蒂莫西·西蒙斯;阿曼达·隆德,喜剧;奇幻;冒险,美国;澳大利亚,5,354
鸡皮疙瘩剧场版,三木康一郎,谷村美月;木南晴夏;佐津川愛美;石橋杏奈;入来茉里;白羽ゆり;野間口徹;松本じゅん;小林高鹿;古川雄輝;菊田大輔;笹野鈴々音;宮崎美穂,恐怖,日本,2,355
鸣梁海战,金韩民,崔岷植;柳承龙;赵震雄;晋久;李贞贤;权律;大谷亮平;李成俊;金明坤;鲁敏宇;金太勋;朴宝剑,剧情;动作;传记;战争,韩国,5,356
鸭王,区焯文,白健恩;何浩文;袁嘉敏;何佩瑜;樊玲;梁敏仪;唐紫睿;卢宛茵;江美仪;何华超;单立文;王俊棠;喇英,喜剧;爱情;情色,香港,4,357
鸭王2,姜国民,何浩文;林子善;文凯玲;钟采羲;梁焯满;林莉娴;何华超;梁敏仪;陈依娜,剧情;情色,香港,3,358
鹰之路,杰拉多·奥利瓦雷斯;奥特马尔·朋克,让·雷诺;曼纽尔·卡马科;托比亚斯·莫雷蒂;伊娃·坤,剧情;家庭;冒险,奥地利,4,359
麦克法兰,妮琪·卡罗,凯文·科斯特纳;Ramiro Rodriguez;卡洛斯·普拉斯;约翰尼·奥蒂斯;Rafael Martinez;赫克托·杜兰;塞吉奥·阿维拉尔;Michael Aguero;戴安娜·玛丽亚·里瓦;奥马尔·莱瓦;维勒特·罗德里格斯;Danny Mora;玛丽亚·贝罗;摩根·塞勒;艾尔西·费舍尔,剧情;传记;运动,美国,4,360
麦克白,贾斯汀·库泽尔,迈克尔·法斯宾德;玛丽昂·歌迪亚;帕迪·康斯戴恩;西恩·哈里斯;杰克·莱诺;伊丽莎白·德比茨基;大卫·休里斯;大卫·海曼;罗斯·安德森;詹姆斯·迈克尔·兰金;丹尼尔·韦斯特伍德;莫里斯·洛维斯;瑞贝卡·本森,剧情;历史,英国;法国;美国,5,361
麦兜·当当伴我心,谢立文,黄秋生;吴君如;胡歌;郑中基;许飞,喜剧;动画,中国大陆;香港,4,362
麦兜·饭宝奇兵,谢立文,金刚;大汪;张正中;彭博;孙小妞,喜剧;动画;冒险,中国大陆;香港,5,363
麦兜我和我妈妈,谢立文;李俊民,黄磊;吴君如;张正中;黄秋生;蔡明丽;蔡瀚亿;李云迪,喜剧;动画;家庭,香港;中国大陆,5,364
麦吉的计划,丽贝卡·米勒,朱丽安·摩尔;伊桑·霍克;格蕾塔·葛韦格;崔维斯·费米尔;玛娅·鲁道夫;比尔·哈德尔;华莱士·肖恩;凯思琳汉娜,喜剧,美国,2,365
麦子小姐,吉田恵辅,堀北真希;松田龙平;余贵美子;温水洋一;麻生祐未;田代沙耶香;井口薰仁;冈山天音,剧情;喜剧,日本,3,366
麻烦家族,黄磊,黄磊;海清;王迅;李立群;孙莉;魏大勋;张伟欣;任容萱;何炅;岳云鹏;孟非;闫妮;英达,喜剧;家庭,中国大陆,3,367
麻辣女孩：时间危机,Steve Loter,克里斯蒂·卡尔森·罗曼诺;威尔·弗里德尔;南茜·卡特莱特;塔吉·莫里,动画;儿童,美国,3,368
麻辣女孩：超级任务,Steve Loter,塔吉·莫里;南茜·卡特莱特;威尔·弗里德尔;克里斯蒂·卡尔森·罗曼诺,动画,美国,2,369
黄克功案件,王放放,成泰燊;王凯;毛孩;黄海冰;杨佳音;马薇薇;戴江;章劼;蔡宜达,剧情;悬疑;历史,中国大陆,4,370
黄海,罗泓轸,河正宇;金允石;郑满植;李哲民;李艾,剧情;动作;犯罪,韩国;美国;香港,6,371
黄连.厚朴,丁荫楠,朱旭,剧情,中国大陆,2,372
黄金时代,许鞍华,汤唯;冯绍峰;王志文;朱亚文;黄轩;郝蕾;袁泉;田沅;丁嘉丽;王千源;沙溢;祖锋;张译;冯雷;袁文康;陈月末;王紫逸;张嘉译;王景春;杨雪;焦刚;张博;张瑶;唐艺昕,剧情;爱情;传记,中国大陆;香港,5,373
黄飞鸿之英雄有梦,周显扬,彭于晏;井柏然;王珞丹;洪金宝;杨颖;梁家辉;王祖蓝;张晋;冯嘉怡;秦俊杰;文峰;高泰宇,剧情;动作;爱情;武侠,中国大陆;香港;英国,7,374
黄鼠狼威索,大卫?费斯,Michael Dorn;Charlie Adler,喜剧;动画;家庭,美国,4,375
黎明的沙耶,深川荣洋,新垣结衣;大泉洋;中村苍;福岛莉拉;鹤野刚士;波乃久里子;藤田弓子;小松政夫;石桥凌;富司纯子,剧情,日本,2,376
黑司祭们,张宰贤,金允石;姜栋元;朴素丹,剧情;悬疑,韩国,3,377
黑处有什么,王一淳,苏晓彤;郭笑;陆琦蔚;刘丹;蒋雪鸣;周逵;吴珏瑾;仁龙;刘杰毅;贾致钢;李世儒;谷麒麟;栗梅;邓刚;王正平;九奇;刚子;韩雨烨;田锋;石英;鄢佳;马沉香;虞正男,剧情;悬疑;犯罪,中国大陆,4,378
黑夜传说5：血战,安娜·福斯特,凯特·贝金赛尔;提奥·詹姆斯;托比亚斯·门基斯;劳拉·普沃;查尔斯·丹斯;詹姆斯·福克纳;彼得·安德森;布莱德利·詹姆斯;黛茜·海德,动作;惊悚;奇幻,美国,4,379
黑夜勿怕,Troy Nixey,凯蒂·霍尔姆斯;盖·皮尔斯;拜莉·麦迪逊;阿兰·戴尔;Jack Thompson;朱丽娅·布莱克,惊悚;恐怖,美国;澳大利亚,4,380
黑夜造访,特里·爱德华·沙尔茨,乔尔·埃哲顿;克里斯托弗·阿波特;卡门·艾乔戈;丽莉·克亚芙;小凯文·哈里森;格里芬·罗伯特·福克纳;大卫·彭德尔顿;米奇;蔡斯·乔利埃特;米克·奥罗克,悬疑;恐怖,美国,3,381
黑魔术大战,古賀新一,前田希美;栩原乐人;河田義市;藤崎ルキノ;森万由加;阿部恍沙穂;桑田彩,恐怖,日本,2,382
鼓舞激情,Duane Adler,戴瑞克·浩夫;宝儿,歌舞,韩国;美国,3,383
鼠来宝4：萌在囧途,沃尔特·拜克,贾斯汀·朗;马修·格雷·古柏勒;杰西·麦卡尼;杰森·李;金柏莱·威廉姆斯;乔什·格林;托尼·海尔;贝拉·索恩;埃迪·斯蒂普斯;克里斯蒂娜·艾伯盖特;凯莉·库柯;安娜·法瑞丝;詹妮佛·库里奇;凯文·韦德,喜剧;动画;音乐;奇幻;冒险,美国,6,384
鼩鼱的巢穴,胡安菲尔·安德烈斯;埃斯塔班·罗艾,玛卡蕾娜·戈麦斯;纳迪娅·德·圣地亚哥;乌戈·席尔瓦;路易斯·托萨尔;卡罗琳娜·邦;格拉西亚·奥拉约;阿谢尔·埃特塞安迪亚;露西娅·冈萨雷斯,剧情;惊悚;恐怖,西班牙;法国,5,385
鼹鼠之歌,三池崇史,生田斗真;仲里依纱;山田孝之;上地雄辅;冈村隆史;堤真一;吹越满;远藤宪一;皆川猿时;大杉涟;岩城滉一,喜剧;动作,日本,3,386
鼹鼠之歌2：香港狂骚曲,三池崇史,生田斗真;瑛太;本田翼;古田新太;菜菜绪;上地雄辅;仲里依纱;堤真一;吹越满;远藤宪一;皆川猿时;岩城滉一;久松郁实,喜剧;动作,日本,3,387
齐天大圣·万妖之城,项秋良;项河生,陈浩民;林子聪;范梦;赵东昊;王洪千;李佳颖;骆应钧;李平安,奇幻;冒险;古装,中国大陆,4,388
龙三和他的七人党,北野武,藤龙也;近藤正臣;中尾彬;品川彻;樋浦勉;伊藤幸純;吉泽健;小野寺昭;北野武;万田久子;安田显;矢岛健一;下条阿童木;胜村政信,喜剧;动作,日本,3,389
龙之战,高峰,刘佩琦;曹云金;罗昱焜;李子雄,动作;历史;战争,中国大陆,4,390
龙之诞生,乔治·诺非,伍允龙;夏雨;王西安;于海;吴樾;比利·马格努森;吴建豪;金星;史蒂文·罗伯斯;西蒙·殷;特瑞·陈;袁文忠;莉莲·林;曹益吉;屈菁菁;西蒙·钱;朱国安;卢堂,剧情;动作;传记,美国;中国大陆;加拿大,6,391
龙之谷：破晓奇兵,宋岳峰,胡歌;景甜;徐娇;夏梓桐;沈达威;孙晔;季冠霖;孟祥龙;商虹;黄莺,动画;奇幻;冒险,中国大陆,4,392
龙在哪里？,胡升忠,章子怡;王力宏;光良;江美琪;梁静茹;戴立忍,喜剧;动画,中国大陆;香港,4,393
龙樱：东大考试机密技巧总传授SP,,阿部宽;长谷川京子;山下智久;长泽雅美;小池彻平;新垣结衣,,日本,2,394
龙珠Z：复活的弗利萨,山室直儀,野泽雅子;中尾隆圣;山寺宏一;森田成一;堀川亮;佐藤正之;鹤广美;田中真弓;古川登志夫;草尾毅;绿川光;皆口裕子,动画,日本,2,395
龙纹身的女孩,大卫·芬奇,丹尼尔·克雷格;鲁妮·玛拉;克里斯托弗·普卢默;斯特兰·斯卡斯加德;史蒂文·伯克夫;罗宾·怀特;约里克·范·韦杰宁根;乔莉·理查德森;杰拉丁妮·詹姆斯;高兰·维斯耶克;唐纳德·桑普特;乌尔夫·弗里贝格;本基特·卡尔森;托尼·威;帕尔·麦尔伯格;约瑟芬·阿斯普伦德;Eva Fritjofson;莫娅·嘉尔彭铎;Maya Hansson-Bergqvist;Sarah Appelberg;朱利安·山德斯;Anna Bj?rk;古斯塔夫·汉马斯顿;Simon Reithner;大卫·丹席克;Marcus Johansson;Mathilda von Essen;Mathias Palmér;马丁·贾维斯;因加·朗格里;安德尔斯·伯格;Mats Andersson;Jürgen Klein;雅丽·乔维尔;阿兰·戴尔;Lena Str?mdahl;里奥·比尔;Fredrik Dolk;艾洛蒂·袁;艾伯丝·戴维兹;乔尔·金纳曼;Karen E. Wright,剧情;悬疑;惊悚;犯罪,美国;瑞典;挪威,7,396
龙虎少年队2,菲尔·罗德;克里斯托弗·米勒,乔纳·希尔;查宁·塔图姆;彼得·斯特曼;怀亚特·罗素;艾波·斯蒂文斯;吉莉恩·贝尔;艾斯·库珀;尼克·奥弗曼;吉米·塔特罗;卡罗琳·阿隆;克雷格·罗伯兹;马克·埃文·杰克逊;乔·克里斯特;埃迪·J.费尔南德斯,喜剧;动作;犯罪,美国,4,397
龙虾,欧格斯·兰斯莫斯,科林·法瑞尔;蕾切尔·薇兹;约翰·C·赖利;蕾雅·赛杜;奥利维娅·科尔曼;本·卫肖;亚里安妮·拉贝德;罗杰·阿什顿-格里菲斯;迈克尔·史麦利;杰西卡·巴登;昂格利基·帕普利亚,剧情;喜剧;奇幻,爱尔兰;英国;希腊;法国;荷兰,8,398
